US,21439453
China,14140163
Japan,5154475
Germany,3863344
India,2935570
United Kingdom,2743586
France,2707074
Italy,1988636
Brazil,1847020
Andorra,3237
Canada,1730914
Cabo Verde,1987
Russia,1637892
Korea South,1629532
Spain,1397870
Australia,1376255
Mexico,1274175
Indonesia,1111713
Netherlands,902355
Saudi Arabia,779289
Turkey,743708
Switzerland,715360
Taiwan,586104
Poland,565854
Thailand,529177
Sweden,528929
Belgium,517609
Iran,458500
Austria,447718
Nigeria,446543
Argentina,445469
Norway,417627
United Arab Emirates,405771
Israel,387717
Ireland,384940
Hong Kong,372989
Malaysia,365303
Singapore,362818
South Africa,358839
Philippines,356814
Denmark,347176
Colombia,327895
Bangladesh,317465
Egypt,302256
Chile,294237
Pakistan,284214
Finland,269654
Vietnam,261637
Czechia,246953
Romania,243698
Portugal,236408
Peru,228989
Iraq,224462
Greece,214012
New Zealand,204671
Qatar,191849
Algeria,172781
Hungary,170407
Kazakhstan,170326
Ukraine,150401
Kuwait,137591
Morocco,119040
Ecuador,107914
Slovakia,106552
Puerto Rico,99913
Liechtenstein,6289
Monaco,6400
Kenya,98607
Angola,91527
Ethiopia,91166
Dominican Republic,89475
Sri Lanka,86566
Guatemala,81318
Oman,76609
Venezuela,70140
Luxembourg,69453
Panama,68536
Ghana,67077
Bulgaria,66250
Burma,65994
Tanzania,62224
Belarus,62572
Costa Rica,61021
Croatia,60702
Uzbekistan,60490
Syria,60043
Uruguay,59918
Lebanon,58565
Macau,55136
Slovenia,54154
Lithuania,53641
Serbia,51523
Congo (Kinshasa),48994
Azerbaijan,47171
Turkmenistan,46674
Cuba,100023
Cote d'Ivoire,44439
Jordan,44172
Bolivia,42401
Paraguay,40714
Tunisia,38732
Cameroon,38632
Bahrain,38184
Latvia,35045
Libya,33018
Estonia,31038
Sudan,30873
Uganda,30666
Yemen,29855
Nepal,29813
El Salvador,26871
Cambodia,26730
Honduras,24449
Cyprus,24280
Zambia,23946
Senegal,23940
Iceland,23918
Papua New Guinea,23587
Trinidad and Tobago,22607
Bosnia and Herzegovina,20106
Guinea-Bissau,1458
Laos,19127
Afghanistan,18734
Botswana,18690
Mali,17647
Gabon,16877
Georgia,15925
Jamaica,15702
Albania,15418
Mozambique,15093
Malta,14859
Burkina Faso,14593
Mauritius,14391
Benin,14374
Namibia,14368
Mongolia,13637
Armenia,13444
Guinea,13368
Zimbabwe,12818
North Macedonia,12672
Bahamas,12664
Madagascar,12550
Nicaragua,12528
Brunei,12455
Equatorial Guinea,12142
Moldova,11688
Congo (Brazzaville),11576
Chad,11026
Rwanda,10209
Niger,9443
Haiti,8819
Kyrgyzstan,8261
Tajikistan,8152
Kosovo,7996
Malawi,7522
Maldives,5786
Togo,5502
Mauritania,5651
Montenegro,5424
Fiji,5708
Barbados,5189
Somalia,4958
Eswatini,4657
Sierra Leone,4229
Guyana,4121
Suriname,3774
South Sudan,3681
Burundi,3573
Liberia,3221
Djibouti,3166
Timor-Leste,2938
Aruba,2903
Bhutan,2842
Lesotho,2741
Central African Republic,2321
Eritrea,2110
Belize,2001
Saint Vincent and the Grenadines,813
Saint Lucia,1992
Gambia,1773
Antigua and Barbuda,1688
Seychelles,1644
San Marino,1591
Solomon Islands,1440
Grenada,1238
Comoros,1179
Saint Kitts and Nevis,1032
Vanuatu,951
Samoa,905
St. Vincent and the Grenadines,856
Dominica,593
Tonga,488
São Tomé and Príncipe,430
"Micronesia, Federated States of",381
Palau,291
Marshall Islands,220
Kiribati,184
Nauru,108
Tuvalu,42
West Bank and Gaza,14616
