Afghanistan,0.52
Albania,2.77
Algeria,4.50
Andorra,5.09
Angola,1.27
Antigua and Barbuda,2.61
Argentina,5.62
Armenia,1.63
Australia,6.41
Austria,7.72
Azerbaijan,1.38
Bahamas,3.18
Bahrain,2.99
Bangladesh,0.42
Barbados,3.19
Belarus,3.88
Belgium,8.02
Belize,4.06
Benin,0.79
Bhutan,2.55
Bolivia,4.51
Bosnia and Herzegovina,6.53
Botswana,3.06
Brazil,3.96
Brunei,2.22
Bulgaria,4.16
Burkina Faso,2.71
Burma,1.02
Burundi,1.80
Cambodia,1.33
Cameroon,0.63
Canada,7.48
Cabo Verde,2.97
Central African Republic,0.64
Chad,0.86
Chile,5.20
China,2.91
Colombia,5.31
Comoros,1.11
Costa Rica,5.66
Croatia,5.62
Cuba,10.92
Cyprus,2.90
Czechia,6.21
Congo (Kinshasa),0.47
Denmark,8.84
Djibouti,1.60
Dominica,3.41
Dominican Republic,2.82
Ecuador,4.29
Egypt,1.36
El Salvador,4.49
Equatorial Guinea,0.79
Eritrea,0.86
Estonia,4.85
Ethiopia,1.10
Federated States of Micronesia,3.50
Fiji,2.21
Finland,6.84
France,9.32
Gabon,2.01
Georgia,3.08
Germany,9.48
Ghana,1.71
Greece,4.73
Grenada,2.17
Guatemala,2.17
Guinea,0.67
Guinea-Bissau,2.69
Guyana,2.50
Haiti,0.83
Honduras,3.86
Hungary,4.64
Iceland,6.85
India,0.90
Indonesia,1.42
Iran,4.42
Iraq,0.70
Ireland,5.27
Israel,4.76
Italy,6.54
Cote d'Ivoire,1.13
Jamaica,3.68
Japan,9.18
Jordan,3.46
Kazakhstan,2.07
Kenya,1.65
Kiribati,7.29
Kuwait,3.27
Kyrgyzstan,2.59
Laos,0.76
Latvia,3.37
Lebanon,4.18
Lesotho,5.15
Liberia,1.37
Libya,3.83
Lithuania,4.53
Luxembourg,4.54
Madagascar,2.86
Malawi,2.76
Malaysia,1.92
Maldives,7.70
Mali,1.21
Malta,5.87
Marshall Islands,12.26
Mauritania,1.55
Mauritius,2.53
Mexico,2.81
Moldova,4.38
Monaco,1.39
Mongolia,2.16
Montenegro,5.73
Morocco,2.74
Mozambique,2.70
Namibia,5.65
Nauru,6.74
Nepal,1.17
Netherlands,8.16
New Zealand,7.40
Nicaragua,5.37
Niger,1.51
Nigeria,0.47
Korea South,2.99
North Macedonia,4.03
Norway,8.70
Oman,3.83
Pakistan,0.77
Palau,6.99
Panama,4.76
Papua New Guinea,1.38
Paraguay,4.14
Peru,3.30
Philippines,1.38
Poland,4.51
Portugal,6.05
Qatar,2.51
Congo (Brazzaville),1.96
Romania,3.89
Russia,3.00
Rwanda,2.29
Saint Kitts and Nevis,2.45
Saint Lucia,2.23
Saint Vincent and the Grenadines,2.73
Samoa,4.23
San Marino,5.14
Sao Tome and Principe,2.39
Saudi Arabia,3.89
Senegal,1.91
Serbia,5.30
Seychelles,3.78
Sierra Leone,1.85
Singapore,2.44
Slovakia,5.39
Slovenia,5.80
Solomon Islands,3.58
Somalia,1.26
South Africa,3.47
South Korea,4.84
Spain,6.24
Sri Lanka,1.68
Sudan,1.10
Suriname,4.21
Eswatini,5.33
Sweden,9.26
Switzerland,7.76
Syria,1.61
Tajikistan,2.00
Tanzania,1.68
Thailand,2.90
Gambia,0.82
Timor-Leste,2.24
Togo,1.33
Tonga,3.47
Trinidad and Tobago,3.44
Tunisia,3.94
Turkey,3.26
Turkmenistan,1.23
Tuvalu,13.06
Uganda,1.02
Ukraine,2.85
United Arab Emirates,2.55
United Kingdom,7.53
US,14.32
Uruguay,6.50
Uzbekistan,2.92
Vanuatu,1.99
Venezuela,0.77
Vietnam,2.68
Yemen,0.57
Zambia,1.71
Zimbabwe,4.38
