Continente,Superficie,Poblacion,Continente
Afghanistan,250000,29835392,Asia
Albania,11100,2994667,Europe
Algeria,919590,34994937,Africa
Andorra,181,84825,Europe
Angola,481351,13338541,Africa
Argentina,1068296,41769726,Samerica
Armenia,11506,2967975,Europe
Australia,2967893,21766711,Oceania
Austria,32382,8217280,Europe
Azerbaijan,33436,8372373,Europe
Bahrain,257,1214705,Asia
Bangladesh,55598,158570535,Asia
Barbados,166,286705,Namerica
Belarus,80154,9577552,Europe
Belgium,11787,10431477,Europe
Belize,8867,321115,Namerica
Benin,43483,9325032,Africa
Bhutan,18147,708427,Asia
Bolivia,424162,10118683,Samerica
Botswana,231803,2065398,Africa
Brazil,3286470,203429773,Samerica
Brunei,2228,401890,Asia
Bulgaria,42822,7093635,Europe
Burundi,10745,10216190,Africa
Cambodia,69900,14701717,Asia
Cameroon,183567,19711291,Africa
Canada,3855081,34030589,Namerica
Chad,495752,10758945,Africa
Chile,292258,16888760,Samerica
China,3705386,1336718015,Asia
Colombia,439733,44725543,Samerica
Comoros,838,794683,Africa
Croatia,21831,4483804,Europe
Cuba,42803,11087330,Namerica
Cyprus,3571,1120489,Europe
Denmark,16639,5529888,Europe
Djibouti,8880,757074,Africa
Dominica,291,72969,Namerica
Ecuador,109483,15007343,Samerica
Egypt,386660,82079636,Africa
Eritrea,46842,5939484,Africa
Estonia,17462,1282963,Europe
Ethiopia,435184,90873739,Africa
Fiji,7054,883125,Oceania
Finland,130558,5259250,Europe
France,211208,65312249,Europe
Gabon,103346,1576665,Africa
Gambia,4363,1797860,Africa
Georgia,26911,4585874,Europe
Germany,137846,81471834,Europe
Ghana,92456,24791073,Africa
Greece,50942,10760136,Europe
Grenada,133,108419,Namerica
Guatemala,42042,13824463,Namerica
Guinea,94925,10601009,Africa
Guinea-Bissau,13946,1596677,Africa
Guyana,83000,744768,Samerica
Haiti,10714,9719932,Namerica
Honduras,43278,8143564,Namerica
Hungary,35919,9976062,Europe
Iceland,39768,311058,Europe
India,1269338,1189172906,Asia
Indonesia,741096,245613043,Asia
Iran,636293,77891220,Asia
Iraq,168753,30399572,Asia
Ireland,27135,4670976,Europe
Israel,8019,7473052,Asia
Italy,116305,61016804,Europe
Jamaica,4244,2868380,Namerica
Japan,145882,126475664,Asia
Jordan,35637,6508271,Asia
Kazakhstan,1049150,15522373,Asia
KoreaSouth,48754657,38023,Asia
Kenya,224961,41070934,Africa
Kiribati,313,100743,Oceania
Kuwait,6880,2595628,Asia
Kyrgyzstan,76641,5587443,Asia
Laos,91428,6477211,Asia
Latvia,24938,2204708,Europe
Lebanon,4015,4143101,Asia
Lesotho,11720,1924886,Africa
Liberia,43000,3786764,Africa
Libya,679358,6597960,Africa
Liechtenstein,62,35236,Europe
Lithuania,25174,3535547,Europe
Luxembourg,998,503302,Europe
NorthMacedonia,9781,2077328,Europe
Madagascar,226656,21926221,Africa
Malawi,45745,15879252,Africa
Malaysia,127316,28728607,Asia
Maldives,116,394999,Asia
Mali,478764,14159904,Africa
Malta,122,408333,Europe
Mauritania,397953,3281634,Africa
Mauritius,788,1303717,Africa
Mexico,761602,113724226,Namerica
Moldova,13067,4314377,Europe
Monaco,1,30539,Europe
Mongolia,603905,3133318,Asia
Montenegro,5415,661807,Europe
Morocco,172413,31968361,Africa
Mozambique,309494,22948858,Africa
Namibia,318694,2147585,Africa
Nauru,8,9322,Oceania
Nepal,54363,29391883,Asia
Netherlands,16033,16847007,Europe
Nicaragua,49998,5666301,Namerica
Niger,489189,16468886,Africa
Nigeria,356667,155215573,Africa
Norway,125181,4691849,Europe
Oman,82031,3027959,Asia
Pakistan,310401,187342721,Asia
Palau,177,20956,Oceania
Panama,30193,3460462,Namerica
Paraguay,157046,6459058,Samerica
Peru,496223,29248943,Samerica
Philippines,115830,101833938,Asia
Poland,120728,38441588,Europe
Portugal,35672,10760305,Europe
Qatar,4416,848016,Asia
Romania,91669,21904551,Europe
Russia,138739892,6592735,Europe
Rwanda,10169,11370425,Africa
Samoa,1137,193161,Oceania
Senegal,75749,12643799,Africa
Serbia,29913,7310555,Europe
Seychelles,176,89188,Africa
Singapore,267,4740737,Asia
Slovakia,18859,5477038,Europe
Slovenia,7827,2000092,Europe
Somalia,246199,9925640,Africa
Spain,194896,46754784,Europe
SriLanka,21283913,25332,Asia
Sudan,728215,45047502,Africa
Suriname,63039,491989,Samerica
Swaziland,6704,1370424,Africa
Sweden,173731,9088728,Europe
Switzerland,15942,7639961,Europe
Syria,71498,22517750,Asia
Tajikistan,55251,7627200,Asia
Tanzania,364898,42746620,Africa
Thailand,198455,66720153,Asia
Togo,21925,6771993,Africa
Tonga,289,105916,Oceania
Tunisia,63170,10629186,Africa
Turkey,301382,78785548,Asia
Turkmenistan,188455,4997503,Asia
Tuvalu,10,10544,Oceania
Uganda,91135,34612250,Africa
Ukraine,233089,45134707,Europe
UnitedArabEmirates,5148664,32000,Asia
UnitedKingdom,62698362,94525,Europe
US,313232044,3718691,Namerica
Uruguay,68039,3308535,Samerica
Uzbekistan,172741,28128600,Asia
Vanuatu,4710,224564,Oceania
Venezuela,352143,27635743,Samerica
Vietnam,127243,90549390,Asia
Yemen,203849,24133492,Asia
Zambia,290584,13881336,Africa
Zimbabwe,150803,12084304,Africa
